Category,Subsystem,Functionality/Mode,What Full Coverage Requires,Current Test Case(s),Coverage Status,Notes,QEMU Model Status,QEMU Notes
Timers,IWDG,Independent watchdog actually resets chip on timeout,"Arm IWDG with short timeout, don't refresh, verify chip resets (RSR IWDGRSTF set after reboot)",,Not Covered,Wave A register audit found IWDG_RLR/WINR HW-vs-SVD divergence (real QEMU model gap) but no case exercises an actual timeout-triggered reset,Stub,"hw/misc/gnw_h7b0_iwdg.c is a real device (CHANGELOG: added specifically to fix RLR/WINR's wrong 0x00000FFF reset value) but is only the generic reset-value/RMW-mask register array - no actual countdown-timer/timeout/chip-reset logic exists, so a real timeout-triggers-reset test would not produce a meaningful result."
Timers,WWDG1,Window watchdog reset-on-early-refresh and reset-on-timeout correctness,"Refresh outside the allowed window (or not at all), verify reset occurs; refresh inside window, verify no reset",,Not Covered,WWDG1 clock enabled in stm32h7xx_hal_msp.c but never armed/used by any case,Stub,hw/misc/gnw_h7b0_wwdg.c (81 lines) is the same generic reset-value/RMW-mask register-array stub pattern; no countdown/window/reset-trigger logic exists.
GPIO/EXTI,GPIOA-E,Digital output correctness (LCD/backlight/button-adjacent pins),"Toggle known pin, verify via loopback-wired pin or visible effect",(implicit via LCD/button/DAC bring-up),Partial,GPIOs are used extensively for LCD/buttons but no case explicitly asserts GPIO register correctness (ODR/IDR/MODER) in isolation,Partial,"GPIOs are used extensively for LCD/buttons but no case explicitly asserts GPIO register correctness (ODR/IDR/MODER) in isolation,Modeled,hw/misc/gnw_h7b0_gpio.c (407 lines) is a real, heavily-refined device with real button-input handling, EXTI-line forwarding gated by SYSCFG_EXTICR (gpio.c:141-158), and real warm-boot/standby-state fixes from prior sessions - among the most battle-tested device models in this project."
GPIO/EXTI,GPIOF-K,Any usage,N/A - not clocked/used on this board,,Not Applicable to this board,Only GPIOA-E clocks are ever enabled,N/A,"Only one gnw_h7b0_gpio.c instance is realized (gnw_h7b0_soc.c:431-434), covering GPIOA-E's address range; mirrors diag CSV's N/A for F-K."
GPIO/EXTI,Button inputs,Debounced correctness / liveness of button GPIO reads,Read known button GPIO state via GDB while user physically presses (needs human involvement),,Not Covered,"No automated case (would need physical interaction, but a register-only pull-up/IDR sanity case is feasible without needing a real press)",Modeled,"gnw_h7b0_gpio.c implements real button-to-GPIO-pin wiring (per the CLAUDE.md note that buttons are polled, not IRQ-driven) driven by QEMU's real keyboard/input backend - functional, no debounce modeled since real buttons are physically debounce-free at the GPIO level in this firmware's own design."
GPIO/EXTI,EXTI,External interrupt line trigger correctness (rising/falling/both edge),"Configure EXTI line on a button pin, verify IRQ fires on real button edge or SW-forced pend",,Not Covered,"EXTI never configured by this firmware (menu polls GPIO directly, not interrupt-driven per CLAUDE.md's buttons-are-polling-only design)",Modeled,"hw/misc/gnw_h7b0_exti.c implements real edge-triggered qemu_irq_pulse-based IRQ generation (exti.c:66) and write-1-to-clear pending semantics (exti.c:98), and is real-wired from GPIO through SYSCFG's EXTICR port mux (gpio.c:141-158) - functional even though this specific firmware doesn't exercise it via IRQ-driven button reads."
GPIO/EXTI,SYSCFG,EXTI line-to-GPIO-port mux correctness,Verify SYSCFG_EXTICR routes the correct port for a given EXTI line,,Not Covered,"SYSCFG clock enabled but no EXTI configured, so mux is moot currently",Modeled,"gpio.c:141-158 reads real SYSCFG_EXTICR1-4 register content (s->syscfg->regs[...]) to determine port routing before forwarding a pin edge to EXTI - genuine mux-routing logic, not a stub, even though gnw_h7b0_syscfg.c's own register storage is the generic stub array (register content itself is correct, just not independently timer/interrupt-driven)."
Analog,ADC1/ADC2,Conversion correctness vs known reference voltage,"Convert VREFINT or a known-voltage channel, verify result within expected ADC error band",,Not Covered,"ADC12 clock enabled at boot (stm32h7xx_hal_msp.c) but ADC1/2 never actually initialized/converted by any case - live capability, zero coverage",Stub,"hw/misc/gnw_h7b0_adc.c's own comment (adc.c:80-103) states a regular conversion ""always reads a fixed full-battery... shadow, no real conversion modeled (reads always 0)"" - EOC/interrupt handshake is real, but the converted value itself is a fixed/zero placeholder, not a real ADC of any input voltage."
Analog,ADC1/ADC2,DMA-driven continuous conversion throughput,"Timed DMA-fed conversion stream, rate measurement",,Not Covered,,Stub,"Same fixed-value limitation as above; DMA-fed continuous conversion would just repeatedly transfer the same fixed placeholder value, not a real varying conversion stream."
Analog,ADC12_Common,Dual/interleaved mode correctness,"Configure dual-ADC mode, verify synchronized sampling",,Not Applicable to this board,No evident use case; single-channel ADC use (if any) wouldn't need dual mode,N/A,Mirrors diag CSV's own N/A; gnw_h7b0_adc.c models only the fixed-value single-conversion path anyway.
Analog,DAC1,Output value correctness (backlight control),"Write known DAC code, verify analog output via a loopback ADC read or documented backlight-brightness effect",,Partial,"DAC1/DAC2 actively used for LCD backlight (MX_DAC1_Init/MX_DAC2_Init in main.c) but no case verifies the analog output value itself, only that init succeeds",Partial,"DAC1/DAC2 actively used for LCD backlight (MX_DAC1_Init/MX_DAC2_Init in main.c) but no case verifies the analog output value itself, only that init succeeds"",Stub,hw/misc/gnw_h7b0_dac.c (81 lines) is the generic reset-value/RMW-mask register-array stub with no analog-output-value/backlight-effect modeling at all - a register write is stored but never surfaces as any observable ""output."
Analog,DAC2,Output value correctness,Same as DAC1,,Partial,Same as above,Partial,"Same as above,Stub,Same generic register-array stub pattern as DAC1 (both are gnw_h7b0_dac.c instances, gnw_h7b0_soc.c:546-554)."
Analog,COMP1,Analog comparator trip-point correctness,"Feed known voltage across trip threshold, verify comparator output flips",,Not Applicable to this board,Not initialized; no evident board use,N/A,"create_unimplemented_device(""COMP1"", ...) (soc.c:238); mirrors diag CSV's N/A."
Analog,OPAMP,Op-amp gain/output correctness,"Configure a gain stage, verify output vs known input",,Not Applicable to this board,Not initialized,N/A,"create_unimplemented_device(""OPAMP"", ...) (soc.c:191); mirrors diag CSV's N/A."
Analog,VREFBUF,Reference buffer voltage output stability,"Enable VREFBUF, verify output voltage is within spec via ADC self-read",,Not Applicable to this board,Not initialized,N/A,"create_unimplemented_device(""VREFBUF"", ...) (soc.c:239); mirrors diag CSV's N/A."
Analog,DFSDM1/DFSDM2,Digital filter for sigma-delta modulators correctness,Requires an external sigma-delta ADC/mic front-end - unlikely present,,Not Applicable to this board,No evident sigma-delta front-end on this board; DFSDM is a known QEMU unimplemented-stub per Wave A audit,N/A,"create_unimplemented_device for DFSDM1 (soc.c:214) and DFSDM2 (soc.c:240); mirrors diag CSV's N/A, consistent with its own Wave A finding."
Infra,RCC,Full register-level 3-way audit (HW vs QEMU vs SVD) across all peripherals,SVD-driven snapshot-diff tool sweeping every peripheral's registers at reset-halt,host/register_audit.py,Covered,"121 SVD peripherals swept, 75/2102 registers actually comparable (rest unclocked/no resetValue) - this is the single highest-leverage blanket-coverage tool in the project, complements but does not replace targeted per-peripheral correctness cases",Partial,"gnw_h7b0_rcc.c is a real, heavily-developed clock-tree model (not a stub) and the register-snapshot-diffing session (docs/session-2026-07-12-register-snapshot-diffing.md) already found/fixed 3 real reset-value bugs project-wide via this exact tool, but a ""full"" register-level audit inherently mixes many other peripherals of every status (Modeled/Partial/Stub/Not Modeled) in this same matrix - RCC itself specifically is well-modeled but the audit's own scope is broader than RCC alone."
Infra,TAMP,Tamper detection pin correctness,"Trigger tamper pin, verify backup register erase/flag per RM",,Not Applicable to this board,"No tamper pin wired; TAMP tied to RTC backup domain, unused",Stub,hw/misc/gnw_h7b0_tamp.c (81 lines) is the generic reset-value/RMW-mask register-array stub; mirrors diag CSV's N/A for actual tamper-pin behavior since it's unused on this board regardless.
Infra,CRS,Clock recovery system (USB SOF-based HSI48 trim),N/A - no USB/HSI48 usage in this firmware,,Not Applicable to this board,No HSI48/USB usage,N/A,hw/misc/gnw_h7b0_crs.c (81 lines) is the generic register-array stub with no real HSI48-trim logic; mirrors diag CSV's N/A since it's unused on this board regardless.
Infra,DBGMCU,Debug/trace config register correctness,Covered indirectly by every GDB-based case (host relies on DBGMCU being sane),(implicit via all GDB-based host tooling),Partial,"No case explicitly asserts DBGMCU register state, but its correct function is implicitly exercised continuously by every host<->target GDB interaction this project does",Partial,"""No case explicitly asserts DBGMCU register state, but its correct function is implicitly exercised continuously by every host<->target GDB interaction this project does"",Stub,hw/misc/gnw_h7b0_dbgmcu.c (81 lines) is the generic register-array stub with correct reset values but no real debug-freeze/CoreSight logic; GDB interaction itself works via QEMU's own generic gdbstub/armv7m debug support (patched per CHANGELOG's ""memory read/write no longer halts the VM"" fix), not via this DBGMCU device's own register semantics."
Infra,PSSI,Parallel synchronous slave interface correctness,N/A - no parallel camera/display data bus wired via PSSI on this board,,Not Applicable to this board,,N/A,"create_unimplemented_device(""PSSI"", ...) (soc.c:221); mirrors diag CSV's N/A."
Infra,OctoSPI I/O Manager,Pin-mux arbitration between OCTOSPI1/2 correctness,Verify OCTOSPIM_PCR routes OSPI1's pins correctly (already implicitly relied upon by extflash_ospi_read),(implicit via case_extflash_ospi_read.c),Partial,OCTOSPIM is configured as part of OSPI1 bring-up (__HAL_RCC_OCTOSPIM_CLK_ENABLE in msp) but no case explicitly verifies the IOM routing register itself,Partial,"OCTOSPIM is configured as part of OSPI1 bring-up (__HAL_RCC_OCTOSPIM_CLK_ENABLE in msp) but no case explicitly verifies the IOM routing register itself,Stub,hw/misc/gnw_h7b0_octospim.c (81 lines) is the generic register-array stub; PCR pin-mux routing is stored but has no functional effect since gnw_h7b0_ospi.c's two instances are independently, unconditionally mapped/backed regardless of OCTOSPIM's actual PCR content (gnw_h7b0_soc.c:360-382)."
Infra,Delay_Block_OCTOSPI1/2,OSPI DLYB (delay block) tuning correctness,Verify DLYB lock/tap-select achieves correct read timing margin at OSPI clock speed,,Not Covered,Relevant to extflash_ospi_read's reliability but not separately verified,Not Modeled,create_unimplemented_device for Delay_Block_OCTOSPI1 (soc.c:229) and Delay_Block_OCTOSPI2 (soc.c:233); no lock/tap-select logic at all - reads return 0/log only.
Infra,DELAY_Block_SDMMC1/2,SDMMC delay-block tuning,N/A - SDMMC unused on this board,,Not Applicable to this board,,N/A,create_unimplemented_device for DELAY_Block_SDMMC1 (soc.c:231) and DELAY_Block_SDMMC2 (soc.c:225); mirrors diag CSV's N/A.
